date,driving,walking,transit
2020-01-13,6300,6300,2700
2020-01-14,6394.37,6403.65,2695.41
2020-01-15,6540.4,6568.03,2743.29
2020-01-16,6724.97,6812.88,2776.3
2020-01-17,7410.57,7688.83,2978.59
2020-01-18,7271.78,7763.95,2855.92
2020-01-19,6523.39,6140.23,2625.32
2020-01-20,6465.1,6522.92,2742.57
2020-01-21,6520.12,6608.53,2754.09
2020-01-22,6562.07,6637.3,2784.26
2020-01-23,6650.43,6708.66,2781.4
2020-01-24,7275.06,7537.92,2949.02
2020-01-25,7194.53,7886.81,2841.88
2020-01-26,6518.77,6052.82,2561.77
2020-01-27,6362.42,6321.6,2702.71
2020-01-28,6346.9,6358.41,2723.44
2020-01-29,6384.58,6491.42,2747.75
2020-01-30,6529.82,6650.05,2773.98
2020-01-31,7271.94,7575.22,2996.93
2020-02-01,7201.78,7818.12,2896.34
2020-02-02,6434.24,6066.35,2677.12
2020-02-03,6193.1,6351.74,2746.04
2020-02-04,6276.21,6380.78,2791.38
2020-02-05,6355.83,6433.86,2804.83
2020-02-06,6527.5,6655.81,2843.27
2020-02-07,7389.18,7660.33,3074.1
2020-02-08,7319.39,7870.99,2984.93
2020-02-09,6490.14,5931.21,2666.11
2020-02-10,6364.88,6344.82,2855.75
2020-02-11,6440.51,6547.29,2845.26
2020-02-12,6586.19,6735.9,2878.16
2020-02-13,6926.29,7202.54,2947.09
2020-02-14,8025.46,8792.47,3178.91
2020-02-15,7700.97,8504.1,3055.07
2020-02-16,6759.18,6486.12,2826.49
2020-02-17,6551.69,6863.07,3062.34
2020-02-18,6606.22,7021.87,3069.33
2020-02-19,6733.21,7073.5,3060.59
2020-02-20,7010.42,7321.16,3078.61
2020-02-21,7804.98,8129.41,3259.23
2020-02-22,7672.56,8252.26,3108.43
2020-02-23,6732.7,6488.03,2823.53
2020-02-24,6497.53,6676.83,2892.39
2020-02-25,6386.29,6633.5,2871.26
2020-02-26,6427.05,6547.93,2865.8
2020-02-27,6682.21,6794.66,2958.49
2020-02-28,7384.52,7741.28,3105.47
2020-02-29,7140.11,7716.93,2918.48
2020-03-01,6262.53,5880.27,2624.11
2020-03-02,6125.85,6248.04,2765.37
2020-03-03,6172.58,6310.4,2762.43
2020-03-04,6258.37,6387.38,2776.58
2020-03-05,6522.33,6708.95,2829.13
2020-03-06,7250.08,7643.32,3040.54
2020-03-07,7092.45,7854.81,2880.7
2020-03-08,6198.46,5878.53,2523.92
2020-03-09,5855.85,5975.61,2546.73
2020-03-10,5845.56,5945.9,2481.83
2020-03-11,5679.33,5783.68,2407.84
2020-03-12,5218.89,5415.17,2094.82
2020-03-13,5421.81,5350.28,1952.52
2020-03-14,4900.83,4782.86,1675.24
2020-03-15,4139.06,3716.47,1399.37
2020-03-16,3920.81,3575.05,1304.23
2020-03-17,3681.47,3304.83,1175.52
2020-03-18,3448.86,3074.3,1069.24
2020-03-19,3401.48,3020.24,1044.74
2020-03-20,3434.7,3003.43,1029.01
2020-03-21,2960.3,2621.73,906.29
2020-03-22,2710.23,2332.56,848.76
2020-03-23,2786.59,2386.68,841.44
2020-03-24,2762.98,2415.88,808.77
2020-03-25,2730.15,2416.45,795.53
2020-03-26,2754.18,2409.38,780.93
2020-03-27,2818.48,2520.29,784.48
2020-03-28,2590.41,2428.73,743.13
2020-03-29,2389.99,2074.88,728.23
2020-03-30,2556.64,2178.83,749.5
2020-03-31,2610.61,2233.53,755.97
2020-04-01,2652.16,2294.49,759.58
2020-04-02,2689.08,2318.95,748.01
2020-04-03,2751.47,2371.71,728.64
2020-04-04,2533.19,2358.64,709.58
2020-04-05,2510.19,2356.54,748
2020-04-06,2772.16,2498.33,762.81
2020-04-07,2868.15,2603.6,764.13
2020-04-08,2883.64,2617.44,745.15
2020-04-09,2802.51,2539.82,739.33
2020-04-10,2713,2580.29,744.02
2020-04-11,2516,2442.22,681.89
2020-04-12,2291.78,2219.52,672.71
2020-04-13,2638.47,2338.64,727.99
2020-04-14,2857.68,2410.85,749.11
2020-04-15,2933.9,2553.35,768.69
2020-04-16,3014.32,2624.81,762.77
2020-04-17,3119.77,2755.45,785.1
2020-04-18,2849.72,2650.9,754.75
2020-04-19,2712.1,2448,759.06
2020-04-20,3018.82,2645.98,802.59
2020-04-21,3168,2781.12,805.42
2020-04-22,3264.64,2878.94,809.42
